,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,NAICS_CODE,NAICS_DESC,LEVEL,ENROLLMENT,START_GRAD,END_GRADE,FT_TEACHER,YEAR
4512,01328969,ABIDING WORD LUTHERAN SCHOOL,17123 RED OAK DR,HOUSTON,TX,77090,1,1,110,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,102,3,13,8,2010
4524,A0903511,EVEREST ACADEMY,610 BRAND LN,STAFFORD,TX,77477,1,1,331,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,281,2,13,50,2012
4559,A0790160,ANGLETON CHRISTIAN SCHOOL,3133 N VALDERAS ST,ANGLETON,TX,77515,1,1,315,BRAZORIA,48039,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,280,2,17,35,2014
4560,BB101422,CENTER FOR HEARING AND SPEECH,3636 W DALLAS ST,HOUSTON,TX,77019,4,1,10,HARRIS,48201,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,8,2,5,2,2014
4561,A1171709,KIDDIE KOLLEGE PRESCHOOL,1919 N LEE AVE,ODESSA,TX,79761,7,1,15,ECTOR,48135,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,14,2,3,1,2014
4562,A1102230,WESTLAKE PREPARATORY LUTHERAN ACADEMY,23300 BELLAIRE BLVD,RICHMOND,TX,77406,1,1,170,FORT BEND,48157,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,152,2,13,18,2014
4577,A1303336,AESA PREP ACADEMY,14101 CANONADE,AUSTIN,TX,78737,1,1,110,HAYS,48209,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,96,10,17,14,2018
4639,BB162777,CORAM DEO ACADEMY,4900 WICHITA TRL,FLOWER MOUND,TX,75022,3,1,1326,DENTON,48121,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,1224,2,17,102,2019
4781,A1171719,LITTLE EINSTEINS LEARNING CENTER,4104 N FM 493,DONNA,TX,78537,6,1,12,HIDALGO,48215,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,9,2,8,3,2019
4782,BB182627,ST THOMAS AQUINAS SCHOOL,3741 ABRAMS RD,DALLAS,TX,75214,1,1,843,DALLAS,48113,611110,ELEMENTARY AND SECONDARY SCHOOLS,1,784,2,13,59,2019
4783,A1703414,ARCADIA FIRST BAPTIST CHRISTIAN SCHOOL,14828 HWY 6,SANTA FE,TX,77517,1,1,175,GALVESTON,48167,611110,ELEMENTARY AND SECONDARY SCHOOLS,3,159,3,16,16,2019
